"ContractID","ConractSize","Currency","Expiration","Strike","Last","Chg","ChgPct","Bid","Ask","Vol","OI","LastTradeTime","IV","ITM"
"MSFT230915P00110000","REGULAR","USD",2023-09-15,110,0.01,0,0,0,0.03,1,1764,2023-08-11 14:31:24,2.218754453125,FALSE
"MSFT230915P00115000","REGULAR","USD",2023-09-15,115,0.01,0,0,0,0.06,1,1477,2023-08-16 13:13:48,2.2656293359375,FALSE
"MSFT230915P00120000","REGULAR","USD",2023-09-15,120,0.01,0,0,0,0.02,1,2510,2023-07-26 13:53:51,1.984375078125,FALSE
"MSFT230915P00125000","REGULAR","USD",2023-09-15,125,0.01,0,0,0,0.03,6,1153,2023-07-20 12:22:01,1.96875015625,FALSE
"MSFT230915P00130000","REGULAR","USD",2023-09-15,130,0.02,0,0,0,0.05,3,3955,2023-07-27 14:58:26,1.984375078125,FALSE
"MSFT230915P00135000","REGULAR","USD",2023-09-15,135,0.02,0,0,0,0.5,3,1226,2023-07-27 15:58:43,2.4218789453125,FALSE
"MSFT230915P00140000","REGULAR","USD",2023-09-15,140,0.01,0,0,0,0.01,1,754,2023-08-07 13:05:38,1.625001875,FALSE
"MSFT230915P00145000","REGULAR","USD",2023-09-15,145,0.02,0,0,0,2.13,1,372,2023-07-21 15:52:21,2.77246400634766,FALSE
"MSFT230915P00150000","REGULAR","USD",2023-09-15,150,0.01,0,0,0,0.02,3,1201,2023-08-15 11:28:04,1.5625021875,FALSE
"MSFT230915P00155000","REGULAR","USD",2023-09-15,155,0.01,0,0,0,0.04,4,1529,2023-08-09 10:49:33,1.59375203125,FALSE
"MSFT230915P00160000","REGULAR","USD",2023-09-15,160,0.01,0,0,0,0.04,3,2077,2023-08-29 13:21:05,1.53125234375,FALSE
"MSFT230915P00165000","REGULAR","USD",2023-09-15,165,0.01,0,0,0,0.06,2,1242,2023-08-30 14:24:07,1.5234398828125,FALSE
"MSFT230915P00170000","REGULAR","USD",2023-09-15,170,0.01,0,0,0,0.3,20,1712,2023-08-29 13:28:07,1.7265638671875,FALSE
"MSFT230915P00175000","REGULAR","USD",2023-09-15,175,0.01,0,0,0,0.31,5,3248,2023-08-18 15:45:34,1.66211106445313,FALSE
"MSFT230915P00180000","REGULAR","USD",2023-09-15,180,0.01,0,0,0,0.05,1,2395,2023-08-22 14:57:59,1.3203158984375,FALSE
"MSFT230915P00185000","REGULAR","USD",2023-09-15,185,0.01,0,0,0,0.31,2,1664,2023-08-15 12:34:14,1.52734611328125,FALSE
"MSFT230915P00190000","REGULAR","USD",2023-09-15,190,0.01,0,0,0,0,20,2733,2023-08-31 14:29:49,0.500005,FALSE
"MSFT230915P00195000","REGULAR","USD",2023-09-15,195,0.01,0,0,0,0.01,5,1506,2023-09-06 11:06:33,1.000005,FALSE
